,asi,asi_rolling_average
21.5,86.01511879049676,86.01511879049676
21.533333333333335,81.6414686825054,83.82829373650108
21.55,79.91360691144709,82.52339812814975
21.6,74.73002159827215,80.57505399568035
21.616666666666667,70.35637149028078,76.66036717062636
21.65,69.49244060475162,73.62311015118792
21.716666666666665,65.17278617710583,69.9379049676026
21.733333333333334,64.2548596112311,67.31911447084235
21.75,63.39092872570194,65.57775377969764
21.783333333333335,62.52699784017278,63.83639308855294
