minutes,timestamp,asi,vsi,pAltitude,cht
0.0,485952797,,,,"[246.2, 257.0, 293.0, 255.2]"
0.0,485952797,39.09287257019439,74,326,
0.0,485952797,37.36501079913607,156,324,
0.0,485952797,,,,"[246.2, 257.0, 293.0, 255.2]"
0.0,485952797,39.09287257019439,74,326,
0.05,485952801,51.24190064794816,35,324,
0.05,485952801,,,,"[255.2, 260.6, 300.2, 266.0]"
0.05,485952801,53.83369330453563,98,327,
0.05,485952801,,,,"[251.6, 257.0, 296.6, 258.8]"
0.05,485952801,,,,"[255.2, 260.6, 300.2, 266.0]"
0.05,485952801,53.83369330453563,98,327,
0.05,485952801,,,,"[251.6, 257.0, 296.6, 258.8]"
0.11666666666666667,485952805,,,,"[249.8, 266.0, 300.2, 260.6]"
0.11666666666666667,485952805,67.7645788336933,174,336,
0.11666666666666667,485952805,,,,"[248.0, 266.0, 300.2, 266.0]"
0.16666666666666666,485952807,75.5939524838013,214,345,
0.16666666666666666,485952807,,,,"[249.8, 260.6, 298.4, 264.2]"
0.16666666666666666,485952807,79.04967602591793,22,339,
0.16666666666666666,485952807,75.5939524838013,214,345,
0.16666666666666666,485952807,,,,"[249.8, 260.6, 298.4, 264.2]"
0.16666666666666666,485952807,79.04967602591793,22,339,
0.21666666666666667,485952811,88.60691144708423,-12,340,
0.21666666666666667,485952811,,,,"[258.8, 271.4, 312.8, 266.0]"
0.21666666666666667,485952811,88.60691144708423,-12,340,
0.21666666666666667,485952811,,,,"[258.8, 271.4, 312.8, 266.0]"
0.3,485952815,99.89200863930884,560,369,
0.3,485952815,,,,"[258.8, 273.2, 314.6, 273.2]"
0.3,485952815,102.53779697624188,643,386,
0.3333333333333333,485952817,,,,"[264.2, 275.0, 314.6, 271.4]"
0.3333333333333333,485952817,101.61987041036716,834,402,
0.3333333333333333,485952817,102.53779697624188,987,428,
0.3333333333333333,485952817,,,,"[264.2, 275.0, 314.6, 271.4]"
0.3333333333333333,485952817,101.61987041036716,834,402,
0.3333333333333333,485952817,102.53779697624188,987,428,
0.4,485952821,101.61987041036716,1411,485,
0.4,485952821,,,,"[269.6, 282.2, 325.4, 275.0]"
0.4,485952821,103.40172786177106,1619,518,
0.4,485952821,101.61987041036716,1411,485,
0.4,485952821,,,,"[269.6, 282.2, 325.4, 275.0]"
0.4,485952821,103.40172786177106,1619,518,
0.4666666666666667,485952825,102.53779697624188,1530,573,
0.4666666666666667,485952825,,,,"[276.8, 287.6, 336.2, 282.2]"
0.4666666666666667,485952825,101.61987041036716,1609,604,
0.5,485952827,101.61987041036716,1653,625,
0.5,485952827,,,,"[278.6, 287.6, 338.0, 282.2]"
0.5,485952827,,,,"[269.6, 284.0, 330.8, 278.6]"
0.5,485952827,100.755939524838,1262,637,
0.5,485952827,101.61987041036716,1653,625,
0.5,485952827,,,,"[278.6, 287.6, 338.0, 282.2]"
0.5,485952827,,,,"[269.6, 284.0, 330.8, 278.6]"
0.5,485952827,100.755939524838,1262,637,
0.55,485952836,104.26565874730022,1591,720,
0.55,485952836,,,,"[275.0, 285.8, 334.4, 280.4]"
0.55,485952836,104.26565874730022,1591,720,
0.55,485952836,,,,"[275.0, 285.8, 334.4, 280.4]"
0.6333333333333333,485952840,104.26565874730022,1169,776,
0.6333333333333333,485952840,,,,"[280.4, 287.6, 345.2, 280.4]"
0.6333333333333333,485952840,105.12958963282938,1202,797,
0.6833333333333333,485952842,105.12958963282938,821,809,
0.6833333333333333,485952842,,,,"[285.8, 291.2, 347.0, 285.8]"
0.6833333333333333,485952842,105.99352051835854,1048,828,
0.6833333333333333,485952842,105.12958963282938,821,809,
0.6833333333333333,485952842,,,,"[285.8, 291.2, 347.0, 285.8]"
0.6833333333333333,485952842,105.99352051835854,1048,828,
0.7333333333333333,485952846,108.58531317494601,1394,899,
0.7333333333333333,485952846,,,,"[285.8, 294.8, 350.6, 282.2]"
0.7333333333333333,485952846,107.72138228941685,1123,869,
0.7333333333333333,485952846,108.58531317494601,1394,899,
0.7333333333333333,485952846,,,,"[285.8, 294.8, 350.6, 282.2]"
0.8,485952850,105.99352051835854,1327,966,
0.8,485952850,,,,"[289.4, 293.0, 352.4, 291.2]"
0.85,485952852,105.12958963282938,1181,985,
0.85,485952852,,,,"[289.4, 296.6, 354.2, 289.4]"
0.85,485952852,104.26565874730022,1145,1005,
0.85,485952852,105.12958963282938,1181,985,
0.85,485952852,,,,"[289.4, 296.6, 354.2, 289.4]"
0.85,485952852,104.26565874730022,1145,1005,
0.9166666666666666,485952856,108.58531317494601,835,1046,
